,name,id,office,position,cars_info,cars_family_info,all_cars_sum_uah_mln,monthly_salary,all_salary,car_years,all_estate,group,group_car,group_flat,group_years
1,Євграфова Єлизавета Павлівна,vulyk_8_129,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Toyota Land Cruiser Prado;;,BMW 735;;,0.51,22008.0,24579.0,1.7,273.0,суди,medium,superlow,superlow
3,Євдокимов Сергій Володимирович,vulyk_60_93,Міністерство внутрішніх справ,начальник управління боротьби з незаконним обігом наркотиків гумвс україни в запорізький області,;;;,BMW X5;;;,0.52,7297.0,7297.0,6.0,109.0,МВС,medium,superlow,medium
10,Євсіков Олексій Олександрович,vulyk_8_29,Вищий господарський суд,суддя вищого господарського суду україни,Volkswagen Touareg;Volkswagen Touareg;,;;,0.98,20273.0,60257.0,1.4,289.0,суди,medium,superlow,superlow
15,Єгоров Сергій Олександрович,vulyk_15_152,Міністерство внутрішніх справ,начальник відділу карного розшуку умвс україни на одеській залізниці,Toyota Corolla;Lexus RX330;Toyota Avensis,Lexus RX330;Toyota Corolla;;,0.67,5906.0,5906.0,9.4,205.0,МВС,medium,superlow,high
17,Єлфімов Олександр Васильович,vulyk_8_170,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Toyota Land Cruiser Prado 150;;,;;,0.51,22256.0,22256.0,1.9,44.0,суди,medium,superlow,superlow
20,Ємельянова Ольга Олександрівна,vulyk_59_64,Господарський місцевий суд,суддя господарського суду харківської області,Lexus RX 350;;,ВАЗ 212140 Нива;;;,0.38,15363.0,18487.0,1.7,443.0,суди,low,low,superlow
21,Ємець Анатолій Анатолійович,vulyk_56_188,Верховний суд,суддя верховного суду україни,Volkswagen Touareg;;,Kia Sportage;;,0.7,26309.0,28285.0,2.1,515.0,суди,medium,medium,medium
28,Єрмаков Юрій В'ячеславович,vulyk_42_35,Загальний апеляційний суд,суддя апеляційного суду луганської області,Daewoo Lanos;;;,;;,0.05,17378.0,17378.0,0.2,486.0,суди,superlow,low,superlow
36,Єфремов Сергій Миколайович,vulyk_13_13,Міністерство внутрішніх справ,заступник начальника широківського районного управління гумвс україни – начальник мгб,Honda Accord;SsangYong Korando;ГАЗ 3302 Газель;,Honda Accord;;;,0.69,6556.0,8563.0,6.8,319.0,МВС,medium,low,medium
37,Єфтемій Станіслав Миколайович,vulyk_33_169,Загальний місцевий суд,голова герцаївського районного суду чернівецької області,Mercedes-Benz E 220;;;,Peugeot Partner;Mercedes-Benz E 220;;,0.55,18544.0,22415.0,2.0,285.0,суди,medium,superlow,medium
44,Єфімова Ольга Іванівна,vulyk_51_60,Загальний апеляційний суд,суддя апеляційного суду міста києва,Toyota Rav 4;;;,;;;;,0.2,22941.0,22941.0,0.7,365.0,суди,low,low,superlow
48,Іваненко Сергій Анатолійович,vulyk_26_81,Адміністративний місцевий суд,суддя полтавського окружного адміністративного суду,BMW 523i;Daihatsu Terios;,BMW 523i;;;,0.69,0.0,533.0,107.2,239.0,суди,medium,superlow,high
50,Іваненко Юлія Геннадіївна,vulyk_8_134,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,BMW 4281;;,;;,0.54,22052.0,22052.0,2.0,138.0,суди,medium,superlow,medium
56,Іванов Іван Іванович,vulyk_19_6,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника київської міської митниці,;;,Lexus RX 350;;,0.49,2244.0,2244.0,18.3,477.0,митники,low,low,high
59,Іванов Дмитро Іванович,vulyk_14_97,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника гу дфс в одеській області,Mercedes-Benz GL 550;;;,Lexus LX 470;Mercedes-Benz S 550;;,1.1,3466.0,5286.0,17.3,420.0,митники,high,low,high
61,Іванов Сергій Володимирович,vulyk_10_136,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник митного поста одеса-порт одеської митниці дфс,Volkswagen Multivan;;,Hyundai Tiburon;;;;,0.57,6030.0,11906.0,4.0,703.0,митники,medium,medium,medium
62,Іванов Юрій Анатолійович,vulyk_14_122,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,Начальник ДПІ у Комінтернівськом районі ГУ ДФС в Одеській області,Toyota Camry;Toyota Sienna;;,Toyota Camry;Toyota Sienna;;,0.71,5428.0,5428.0,10.9,134.0,митники,medium,superlow,high
74,Іванько Віктор Михайлович,vulyk_35_100,Міністерство внутрішніх справ,заступник начальника умвс - начальник мгб,Subaru Outback;;,;;;;,0.15,10666.0,10666.0,1.2,340.0,МВС,low,low,superlow
97,Ігнатенко Сергій Петрович,vulyk_29_169,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника дпі у іршавському районі гу міндоходів у закарпатській області,Audi A6;Kia Ceed;;,;,0.2,4173.0,6519.0,2.6,642.0,митники,low,medium,medium
101,Ізмайлова Галина Нуріївна,vulyk_55_24,Загальний апеляційний суд,суддя апеляційного суду харківської області,;,Toyota Rav 4;;,0.18,22753.0,22753.0,0.7,390.0,суди,low,low,superlow
